"BehaviorSpace results (NetLogo 6.0.4)"
"MAGENTA_ABM_combined.nlogo"
"MAGENTA_experiment_onefarmer"
"07/12/2019 16:20:55:285 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-7","7","-7","7"
"[run number]","bounded-rationality?","bonus-agg","bounded-threshold","base-p","persistence","bonus-wat","water-bonus","dist","change-lim","no-agents","[step]","budget","r:get ""ay.sum""","r:get ""hi""","r:get ""wq"""
"1","false","0","uniform","0","profit","0","as ES model","1","1","1","100","-5.6843418860808015E-14","96.89180539165943","1.4","3.22"
"2","false","0","uniform","0","profit","0","as ES model","1","1","1","100","-1.7053025658242404E-13","96.89180539165943","1.4","3.22"
"3","false","0","uniform","0","profit","0","as ES model","1","1","1","100","5.6843418860808015E-14","96.89180539165943","1.4","3.22"
"4","false","0","uniform","0","profit","0","as ES model","1","1","1","100","1.1368683772161603E-13","96.89180539165943","1.4","3.22"
"5","false","0","uniform","0","profit","0","as ES model","1","1","1","100","-3.979039320256561E-13","96.89180539165943","1.4","3.22"
"6","false","0","uniform","0","profit","0","as ES model","1","2","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"7","false","0","uniform","0","profit","0","as ES model","1","2","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"8","false","0","uniform","0","profit","0","as ES model","1","2","1","100","2.8421709430404007E-13","100.00522532015965","0","0"
"9","false","0","uniform","0","profit","0","as ES model","1","2","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"10","false","0","uniform","0","profit","0","as ES model","1","2","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"11","false","0","uniform","0","profit","0","as ES model","1","3","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"12","false","0","uniform","0","profit","0","as ES model","1","3","1","100","0","100.00522532015965","0","0"
"13","false","0","uniform","0","profit","0","as ES model","1","3","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"14","false","0","uniform","0","profit","0","as ES model","1","3","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"15","false","0","uniform","0","profit","0","as ES model","1","3","1","100","0","100.00522532015965","0","0"
"16","false","0","uniform","0","profit","0","as ES model","1","4","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"17","false","0","uniform","0","profit","0","as ES model","1","4","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"18","false","0","uniform","0","profit","0","as ES model","1","4","1","100","3.410605131648481E-13","100.00522532015965","0","0"
"19","false","0","uniform","0","profit","0","as ES model","1","4","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"20","false","0","uniform","0","profit","0","as ES model","1","4","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"21","false","0","uniform","0","profit","0","as ES model","1","5","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"22","false","0","uniform","0","profit","0","as ES model","1","5","1","100","0","100.00522532015965","0","0"
"23","false","0","uniform","0","profit","0","as ES model","1","5","1","100","0","100.00522532015965","0","0"
"24","false","0","uniform","0","profit","0","as ES model","1","5","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"25","false","0","uniform","0","profit","0","as ES model","1","5","1","100","0","100.00522532015965","0","0"
"26","false","0","uniform","0","profit","0","as ES model","1","6","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"27","false","0","uniform","0","profit","0","as ES model","1","6","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"28","false","0","uniform","0","profit","0","as ES model","1","6","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"29","false","0","uniform","0","profit","0","as ES model","1","6","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"30","false","0","uniform","0","profit","0","as ES model","1","6","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"31","false","0","uniform","0","profit","0","as ES model","1","7","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"32","false","0","uniform","0","profit","0","as ES model","1","7","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"33","false","0","uniform","0","profit","0","as ES model","1","7","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"34","false","0","uniform","0","profit","0","as ES model","1","7","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"35","false","0","uniform","0","profit","0","as ES model","1","7","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"36","false","0","uniform","0","profit","0","as ES model","1","8","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"37","false","0","uniform","0","profit","0","as ES model","1","8","1","100","0","100.00522532015965","0","0"
"38","false","0","uniform","0","profit","0","as ES model","1","8","1","100","0","100.00522532015965","0","0"
"39","false","0","uniform","0","profit","0","as ES model","1","8","1","100","-3.410605131648481E-13","100.00522532015965","0","0"
"40","false","0","uniform","0","profit","0","as ES model","1","8","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"41","false","0","uniform","0","profit","0","as ES model","1","9","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"42","false","0","uniform","0","profit","0","as ES model","1","9","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"43","false","0","uniform","0","profit","0","as ES model","1","9","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"44","false","0","uniform","0","profit","0","as ES model","1","9","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"45","false","0","uniform","0","profit","0","as ES model","1","9","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"46","false","0","uniform","0","profit","0","as ES model","1","10","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"47","false","0","uniform","0","profit","0","as ES model","1","10","1","100","0","100.00522532015965","0","0"
"48","false","0","uniform","0","profit","0","as ES model","1","10","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"49","false","0","uniform","0","profit","0","as ES model","1","10","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"50","false","0","uniform","0","profit","0","as ES model","1","10","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"51","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.3249999999997044","96.71762805300212","1.4","7.53"
"52","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.3250000000004434","96.71762805300212","1.4","7.53"
"53","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.3250000000000455","96.71762805300212","1.4","7.53"
"54","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.32500000000027285","96.71762805300212","1.4","7.53"
"55","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.3249999999999318","96.71762805300212","1.4","7.53"
"56","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","3.979039320256561E-13","100.00522532015965","0","0"
"57","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","3.410605131648481E-13","100.00522532015965","0","0"
